word (stimuli),let,syl,freq_BNC,Valence,Arousal,Imagery,Concreteness,Meaning,Familiarity,Emotionality,Likeableness,Desirability,Control,Grouping,Set
ambitious,9,3,15.394605,6.09,3.7,5.91,4.54,6.21,4.72,3.94,5.77,6.22,5.05,Pos,2
crafty,6,2,1.648352,5.33,3.65,4.41,3.57,5.31,3.9,3,5.95,5.46,4.94,Pos,2
masterful,9,3,0.929071,5.7,3.61,4.79,4.18,5.46,3.69,3.52,4.72,5.81,5.46,Pos,1
decisive,8,3,12.267732,5.41,3.57,4.57,4.4,5.79,4.13,3.54,5.61,5.97,6,Pos,1
excited,7,3,19.070929,6,3.53,5.78,3.5,6.04,5.44,4.95,5.83,6.28,4.56,Pos,2
diligent,8,3,1.438561,5.32,4.24,4.99,4.48,5.71,3.78,2.01,5.9,6.4,5,Pos,2
disciplined,11,3,4.755245,5.71,4.2,4.69,5.89,6.81,5.46,1.95,5.84,6.31,6.05,Pos,1
punctual,8,3,0.679321,5.63,4.05,5.32,4.93,6.15,4.17,3.73,5.89,5.71,4.74,Pos,1
studious,8,3,0.599401,6,3.89,6.69,4.39,6.54,4.13,4.09,6.16,6.12,4.81,Pos,2
high-spirited,13,4,0.539461,6.02,3.74,6.47,3.9,6.47,3.75,3.86,5.93,6.37,4.74,Pos,2
purposeful,10,3,2.697303,5.94,3.65,4.33,4.43,6.4,3.71,4.73,6.42,6.54,5.36,Pos,1
active,6,2,72.827173,6.21,3.64,6.49,5.08,6.79,4.66,3.15,6.24,6.6,4.99,Pos,1
experienced,11,4,55.804196,5.5,3.58,5.26,5.21,6.49,5.86,3.73,5.38,6.17,5.75,Pos,2
pretty,6,2,79.55045,5.57,3.54,5.77,4.51,6.2,5.05,1.81,5.88,5.88,3.85,Pos,2
self-discipline,15,4,1.208791,5.48,3.53,5.97,5.8,7,3.75,3.46,5.89,5.83,6.14,Pos,1
suave,5,1,0.719281,4.42,3.18,5.35,2.95,6.19,2.73,3.57,4.5,4.88,5.88,Neu,1
objective,9,3,46.303696,4.08,3.67,3.65,4.24,6.76,4.82,3.21,3.78,3.99,4.18,Neu,2
valour,6,2,0.979021,4.06,3.36,3.5,3.95,5.08,3.75,3.57,4.63,4.97,3.97,Neu,2
erotic,6,3,4.355644,3.86,3.8,5.7,4.15,6.18,2.57,3.84,4.01,3.79,4.23,Neu,1
solar,5,2,13.166833,3.78,3.31,4.33,4.71,5.05,2.61,2.24,2.55,2.73,2.85,Neu,1
homespun,8,2,0.519481,3.76,3.5,2.76,2.77,2.57,1.31,1.27,4.02,2.64,3.3,Neu,2
tempestuous,11,4,0.46953,3.36,4.13,2.77,4.05,3.95,2.06,3.58,3.16,3.01,3.77,Neu,2
indifferent,11,4,6.183816,3.24,4.16,4.51,3.92,4.97,3.99,2.86,3.06,2.07,4,Neu,1
subdued,7,2,5.034965,3.12,3.53,5.41,5.01,5.55,3.69,3.05,3.39,2.77,2.53,Neu,1
conforming,10,3,1.228771,3,3.83,5.79,4.38,6.69,4.19,3.06,2.57,2.07,3.48,Neu,2
decent,6,2,18.531469,4.28,2.73,4.36,3.43,6.21,4.54,4.16,5.05,5.38,3.45,Neu,2
wealthy,7,2,13.586414,4.23,3.63,6.27,5.62,7,3.83,2.11,4.54,5.13,4.37,Neu,1
conventional,12,4,39.230769,4.04,3.09,4.17,3.66,5.88,5.27,2.26,4.89,4.26,4.72,Neu,1
cautious,8,2,11.428571,3.98,4.96,5.63,5.1,6.42,4.19,3.3,3.97,3.57,4.98,Neu,2
skeptical,9,3,0.11988,3.78,4.95,4.49,3.72,5.87,4.03,3.01,2.99,3.17,4.17,Neu,2
dominant,8,3,30.569431,3.72,4.51,5.44,4.94,6.6,4.97,3.55,3.49,4.01,5.37,Neu,1
hungry,6,2,18.611389,3.34,4.94,5.27,3.85,6.73,5.18,4.3,3.67,2.34,4.3,Neu,1
small,5,1,444.065934,3.03,3.44,5.89,4.94,6.5,4.68,1.77,3.2,2.58,3.71,Neu,2
tired,5,1,41.168831,2.97,2.93,5.4,5.18,5.67,4.9,3.7,2.35,1.89,3.13,Neu,2
forceful,8,2,3.756244,2.89,5.29,6.6,3.58,6.58,3.31,3.37,2.43,1.72,5.92,Neu,2
